Actual	Predicted
cat	cat
ship	ship
ship	deer
plane	plane
frog	frog
frog	deer
car	cat
frog	deer
cat	cat
car	frog
plane	cat
truck	truck
dog	horse
horse	horse
truck	ship
ship	frog
dog	dog
horse	cat
ship	ship
frog	frog
horse	cat
plane	plane
deer	deer
truck	truck
dog	deer
bird	deer
deer	deer
plane	deer
truck	deer
frog	frog
frog	cat
dog	cat
deer	deer
dog	dog
truck	ship
bird	ship
deer	deer
car	car
truck	ship
dog	dog
deer	deer
frog	frog
dog	horse
frog	frog
plane	plane
truck	truck
cat	cat
truck	deer
horse	deer
frog	deer
truck	frog
ship	ship
plane	bird
cat	cat
ship	ship
ship	ship
horse	deer
horse	cat
deer	dog
frog	deer
horse	horse
cat	cat
frog	frog
cat	ship
frog	frog
bird	bird
car	deer
bird	bird
cat	deer
horse	deer
bird	ship
frog	frog
ship	ship
ship	deer
plane	deer
bird	bird
truck	plane
cat	cat
cat	dog
ship	ship
ship	ship
car	cat
car	deer
horse	horse
bird	bird
dog	deer
bird	deer
horse	deer
ship	ship
truck	ship
plane	deer
cat	cat
ship	deer
frog	frog
deer	deer
frog	frog
frog	deer
plane	plane
plane	plane
horse	cat
deer	deer
dog	cat
frog	frog
cat	cat
car	car
car	car
cat	bird
frog	cat
ship	ship
horse	horse
deer	horse
plane	plane
frog	bird
bird	cat
car	deer
cat	cat
plane	deer
deer	deer
bird	cat
horse	deer
ship	ship
cat	cat
car	truck
bird	bird
ship	ship
plane	plane
ship	cat
cat	cat
dog	frog
bird	bird
deer	deer
car	car
ship	deer
truck	truck
car	frog
bird	cat
truck	horse
horse	horse
bird	cat
truck	ship
frog	frog
dog	dog
frog	frog
cat	deer
ship	bird
horse	bird
frog	frog
bird	cat
dog	dog
bird	bird
ship	ship
truck	frog
frog	frog
plane	plane
plane	cat
dog	cat
bird	bird
truck	cat
dog	cat
deer	deer
bird	cat
car	plane
frog	bird
frog	deer
ship	ship
deer	deer
ship	ship
deer	deer
dog	cat
plane	ship
truck	truck
truck	plane
truck	cat
ship	ship
truck	truck
truck	ship
cat	cat
horse	deer
dog	cat
plane	plane
plane	plane
dog	dog
bird	bird
bird	cat
cat	cat
ship	ship
frog	frog
cat	cat
deer	cat
plane	deer
dog	frog
ship	cat
plane	plane
car	frog
horse	bird
bird	cat
ship	deer
ship	ship
horse	bird
ship	cat
dog	cat
car	deer
ship	ship
horse	horse
car	deer
cat	cat
plane	deer
dog	dog
horse	horse
truck	deer
horse	cat
deer	deer
dog	cat
truck	deer
ship	plane
plane	plane
horse	horse
truck	truck
ship	cat
bird	bird
horse	deer
frog	cat
truck	truck
deer	deer
cat	cat
truck	frog
frog	dog
deer	deer
horse	deer
frog	bird
dog	dog
car	ship
dog	dog
ship	deer
ship	ship
plane	plane
deer	deer
plane	ship
dog	dog
dog	cat
car	bird
car	car
ship	deer
truck	cat
plane	deer
cat	bird
car	cat
truck	ship
bird	deer
bird	bird
dog	cat
cat	dog
truck	truck
truck	ship
deer	cat
plane	ship
cat	cat
plane	plane
plane	ship
truck	deer
ship	ship
car	frog
dog	deer
horse	cat
plane	plane
ship	ship
bird	dog
deer	deer
horse	deer
plane	cat
bird	bird
cat	cat
frog	frog
cat	cat
ship	ship
dog	cat
plane	plane
cat	dog
deer	deer
cat	cat
truck	truck
plane	plane
frog	cat
car	plane
plane	deer
truck	deer
car	cat
plane	ship
horse	horse
truck	deer
car	car
bird	bird
frog	frog
truck	deer
cat	cat
deer	deer
frog	frog
plane	plane
plane	bird
frog	frog
frog	frog
frog	frog
cat	cat
bird	bird
frog	frog
car	ship
ship	ship
bird	deer
car	deer
frog	plane
ship	ship
frog	frog
ship	ship
plane	plane
deer	deer
plane	plane
horse	cat
horse	deer
dog	dog
dog	deer
cat	cat
dog	cat
bird	bird
cat	bird
deer	deer
car	cat
horse	deer
dog	deer
deer	deer
frog	frog
car	car
truck	truck
cat	cat
frog	cat
frog	deer
truck	deer
cat	cat
ship	ship
plane	frog
horse	horse
bird	bird
frog	frog
bird	plane
dog	cat
ship	bird
dog	cat
deer	cat
frog	frog
ship	cat
truck	deer
truck	cat
car	cat
plane	plane
bird	bird
bird	deer
horse	deer
cat	deer
bird	cat
ship	ship
plane	plane
truck	ship
dog	dog
ship	ship
car	deer
truck	ship
deer	deer
car	ship
cat	cat
ship	ship
car	frog
deer	cat
horse	horse
truck	truck
deer	ship
bird	bird
horse	deer
plane	deer
horse	deer
plane	ship
frog	frog
frog	frog
truck	cat
plane	plane
truck	ship
bird	deer
ship	ship
horse	cat
bird	bird
bird	cat
dog	dog
car	cat
bird	bird
frog	bird
bird	frog
truck	cat
frog	cat
bird	bird
cat	cat
plane	plane
cat	frog
truck	ship
ship	plane
horse	deer
ship	ship
ship	ship
deer	cat
plane	plane
car	plane
ship	cat
bird	bird
horse	horse
truck	ship
cat	cat
frog	frog
car	frog
truck	truck
plane	cat
horse	horse
cat	cat
horse	deer
deer	deer
dog	dog
plane	ship
plane	plane
bird	bird
truck	deer
cat	deer
deer	deer
plane	bird
frog	frog
bird	deer
dog	deer
cat	cat
horse	deer
cat	cat
horse	horse
bird	bird
dog	cat
cat	cat
car	ship
car	car
deer	deer
truck	deer
truck	deer
dog	dog
horse	bird
dog	cat
plane	plane
bird	cat
bird	plane
bird	deer
truck	ship
horse	horse
cat	deer
truck	ship
deer	deer
cat	deer
dog	dog
deer	cat
frog	cat
dog	dog
frog	cat
car	frog
deer	deer
cat	deer
deer	deer
deer	deer
cat	cat
horse	dog
ship	deer
cat	deer
horse	horse
ship	ship
plane	ship
dog	dog
horse	cat
frog	deer
plane	deer
dog	dog
deer	deer
ship	ship
frog	frog
ship	ship
dog	deer
dog	bird
truck	deer
truck	ship
truck	truck
dog	deer
plane	cat
car	car
plane	plane
ship	ship
car	frog
car	plane
ship	ship
plane	plane
bird	bird
bird	deer
plane	plane
deer	deer
frog	cat
dog	dog
deer	deer
truck	ship
deer	deer
horse	horse
truck	plane
truck	cat
deer	deer
dog	dog
frog	frog
frog	frog
car	car
dog	dog
cat	cat
ship	ship
truck	truck
dog	cat
ship	ship
dog	bird
horse	horse
plane	frog
horse	horse
plane	ship
dog	deer
plane	ship
plane	plane
deer	deer
frog	cat
truck	ship
plane	cat
truck	deer
dog	dog
frog	frog
frog	bird
frog	cat
bird	deer
truck	ship
plane	plane
car	car
horse	horse
frog	frog
horse	horse
dog	cat
truck	ship
car	ship
frog	frog
bird	bird
dog	cat
dog	bird
dog	deer
ship	deer
dog	cat
truck	cat
deer	deer
frog	deer
deer	deer
cat	cat
bird	bird
plane	plane
horse	deer
frog	frog
bird	cat
bird	deer
cat	cat
truck	deer
horse	cat
truck	ship
bird	bird
frog	cat
horse	horse
car	cat
cat	cat
frog	frog
frog	cat
ship	ship
truck	deer
horse	deer
dog	dog
deer	deer
plane	ship
ship	ship
deer	cat
plane	plane
truck	ship
cat	cat
deer	deer
ship	ship
truck	deer
frog	frog
truck	deer
bird	plane
frog	cat
car	deer
deer	deer
horse	ship
cat	deer
dog	cat
cat	cat
ship	ship
dog	dog
plane	ship
bird	bird
car	car
frog	frog
deer	ship
cat	deer
cat	cat
truck	truck
frog	cat
truck	car
ship	deer
ship	deer
dog	cat
ship	ship
frog	frog
frog	cat
bird	cat
car	cat
horse	cat
horse	deer
car	deer
bird	cat
horse	deer
truck	cat
truck	truck
deer	deer
deer	deer
car	cat
bird	ship
dog	deer
frog	cat
ship	plane
horse	deer
frog	deer
ship	ship
cat	cat
plane	deer
dog	cat
dog	horse
cat	cat
plane	bird
horse	horse
truck	cat
car	car
cat	cat
deer	deer
deer	deer
dog	horse
cat	cat
truck	ship
dog	cat
frog	cat
truck	cat
bird	cat
car	car
car	cat
deer	deer
car	plane
truck	deer
deer	cat
horse	horse
frog	deer
cat	cat
ship	cat
truck	cat
plane	ship
car	ship
cat	cat
frog	frog
cat	cat
frog	cat
cat	cat
bird	bird
plane	ship
cat	cat
car	deer
plane	cat
dog	cat
truck	plane
frog	frog
deer	deer
ship	ship
truck	deer
frog	deer
truck	deer
frog	bird
cat	plane
plane	deer
cat	cat
bird	bird
bird	bird
horse	horse
ship	ship
cat	cat
ship	plane
bird	plane
horse	horse
dog	frog
horse	horse
bird	bird
deer	deer
ship	cat
horse	deer
deer	deer
bird	ship
truck	deer
ship	ship
ship	cat
frog	frog
ship	plane
ship	ship
horse	deer
deer	deer
cat	deer
cat	cat
ship	cat
deer	deer
truck	ship
deer	deer
ship	deer
ship	ship
car	deer
ship	ship
bird	deer
car	car
cat	cat
frog	deer
dog	cat
deer	horse
bird	bird
horse	horse
truck	deer
truck	ship
deer	plane
car	cat
deer	deer
car	ship
cat	cat
bird	cat
horse	horse
plane	plane
horse	horse
truck	plane
horse	deer
frog	cat
frog	frog
bird	bird
dog	dog
truck	ship
bird	plane
truck	ship
car	ship
bird	plane
bird	plane
frog	frog
ship	ship
bird	bird
car	car
cat	cat
frog	deer
frog	frog
plane	plane
car	car
bird	plane
horse	cat
